CPU: Intel Silvermont microarchitecture, speed 2160 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 100000
Counted LLC_MISSES events (Last level cache demand requests from this core that missed the LLC) with a unit mask of 0x41 (No unit mask) count 100000
Counted LLC_REFS events (Last level cache demand requests from this core) with a unit mask of 0x4f (No unit mask) count 100000
samples  %        samples  %        samples  %        image name               symbol name
919116   41.1514  11990    57.3191  14705    42.8355  sp.A.x                   compute_rhs_._omp_fn.0
334542   14.9784  1687      8.0648  5453     15.8845  sp.A.x                   z_solve_._omp_fn.0
309497   13.8570  1152      5.5072  4377     12.7502  sp.A.x                   y_solve_._omp_fn.0
288882   12.9341  1040      4.9718  4038     11.7626  sp.A.x                   x_solve_._omp_fn.0
85136     3.8118  1596      7.6298  1346      3.9209  sp.A.x                   tzetar_._omp_fn.0
76931     3.4444  1158      5.5359  1119      3.2596  sp.A.x                   txinvr_._omp_fn.0
60286     2.6992  11        0.0526  6         0.0175  libgomp.so.1.0.0         /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
52883     2.3677  1074      5.1343  1409      4.1044  sp.A.x                   add_._omp_fn.0
38083     1.7051  543       2.5959  795       2.3158  sp.A.x                   pinvr_._omp_fn.0
37631     1.6848  530       2.5337  853       2.4848  sp.A.x                   ninvr_._omp_fn.0
7821      0.3502  2         0.0096  0              0  sp.A.x                   exact_solution_
7231      0.3238  108       0.5163  135       0.3933  libc-2.26.so             __memcpy_sse2_unaligned_erms
2131      0.0954  4         0.0191  4         0.0117  sp.A.x                   exact_rhs_._omp_fn.0
1454      0.0651  6         0.0287  45        0.1311  sp.A.x                   lhsinit_
1420      0.0636  10        0.0478  32        0.0932  sp.A.x                   lhsinitj_
1277      0.0572  0              0  0              0  rtl_pci                  /rtl_pci
835       0.0374  3         0.0143  6         0.0175  sp.A.x                   initialize_._omp_fn.0
241       0.0108  0              0  0              0  kallsyms                 clear_page_erms
216       0.0097  0              0  0              0  kallsyms                 update_curr
204       0.0091  0              0  0              0  kallsyms                 update_load_avg
201       0.0090  0              0  0              0  kallsyms                 __hrtimer_run_queues
190       0.0085  0              0  0              0  kallsyms                 task_tick_fair
171       0.0077  0              0  0              0  kallsyms                 select_task_rq_fair
161       0.0072  0              0  0              0  kallsyms                 futex_wake
160       0.0072  0              0  0              0  kallsyms                 __schedule
149       0.0067  0              0  0              0  kallsyms                 rcu_check_callbacks
142       0.0064  0              0  1         0.0029  kallsyms                 __irqentry_text_start
139       0.0062  0              0  0              0  kallsyms                 enqueue_task_fair
119       0.0053  0              0  0              0  kallsyms                 cpuacct_charge
114       0.0051  0              0  0              0  kallsyms                 get_futex_key
112       0.0050  0              0  0              0  kallsyms                 rb_erase
106       0.0047  0              0  0              0  kallsyms                 ktime_get_update_offsets_now
106       0.0047  0              0  0              0  kallsyms                 pick_next_task_fair
102       0.0046  0              0  0              0  kallsyms                 __perf_event_task_sched_out
99        0.0044  0              0  0              0  kallsyms                 decay_load
98        0.0044  0              0  0              0  kallsyms                 timerqueue_add
96        0.0043  0              0  0              0  kallsyms                 try_to_wake_up
90        0.0040  0              0  0              0  kallsyms                 do_futex
90        0.0040  0              0  0              0  kallsyms                 update_cfs_shares
88        0.0039  0              0  0              0  kallsyms                 enqueue_entity
85        0.0038  1         0.0048  1         0.0029  sp.A.x                   error_norm_._omp_fn.0
82        0.0037  0              0  0              0  kallsyms                 sys_futex
82        0.0037  0              0  0              0  mac80211                 /mac80211
79        0.0035  0              0  0              0  kallsyms                 _raw_spin_lock
79        0.0035  0              0  0              0  kallsyms                 account_user_time
77        0.0034  0              0  0              0  kallsyms                 __update_load_avg_se.isra.37
77        0.0034  0              0  0              0  kallsyms                 update_blocked_averages
73        0.0033  0              0  0              0  kallsyms                 entry_SYSCALL_64_after_swapgs
71        0.0032  0              0  0              0  kallsyms                 irq_enter
71        0.0032  0              0  0              0  kallsyms                 ktime_get
70        0.0031  0              0  0              0  kallsyms                 check_preempt_wakeup
69        0.0031  0              0  0              0  kallsyms                 hrtimer_interrupt
68        0.0030  0              0  0              0  kallsyms                 _raw_spin_lock_irqsave
68        0.0030  0              0  0              0  kallsyms                 ctx_sched_out
68        0.0030  1         0.0048  0              0  libc-2.26.so             free
62        0.0028  0              0  0              0  kallsyms                 get_page_from_freelist
61        0.0027  0              0  0              0  kallsyms                 account_entity_enqueue
